Sillaba,Conteggio,lunghezza_sillaba
sfìt,2,4.0
sbòc,2,4.0
fión,2,4.0
chit,2,4.0
grèm,2,4.0
cràu,2,4.0
sbif,2,4.0
guàz,2,4.0
crim,2,4.0
nium,2,4.0
guat,2,4.0
sput,2,4.0
drét,2,4.0
guìz,2,4.0
svac,2,4.0
smat,2,4.0
scìl,2,4.0
fròl,2,4.0
sbàl,2,4.0
glàn,2,4.0
stèm,2,4.0
ghìn,2,4.0
stùc,2,4.0
scòp,2,4.0
guàt,2,4.0
smio,2,4.0
crof,2,4.0
bièn,2,4.0
gnaz,2,4.0
gnòc,2,4.0
cloi,2,4.0
smòs,2,4.0
sbic,2,4.0
prìc,2,4.0
riot,2,4.0
bluf,2,4.0
stìg,2,4.0
drèl,2,4.0
quàl,2,4.0
grìf,2,4.0
watt,2,4.0
cios,2,4.0
guìn,2,4.0
scus,2,4.0
guen,2,4.0
gruz,2,4.0
tròs,2,4.0
vriè,2,4.0
sdot,2,4.0
giùg,2,4.0
crùc,2,4.0
drib,2,4.0
flàm,2,4.0
brùt,2,4.0
ting,2,4.0
vièn,2,4.0
brài,2,4.0
fiàg,2,4.0
miàn,2,4.0
brie,2,4.0
tuòr,2,4.0
clàg,2,4.0
scìp,2,4.0
fiòt,2,4.0
chid,2,4.0
clùb,2,4.0
griè,2,4.0
plét,2,4.0
spàz,2,4.0
sgór,2,4.0
sdrà,2,4.0
gric,2,4.0
trùp,2,4.0
siàr,2,4.0
drìn,2,4.0
friz,2,4.0
chèt,2,4.0
lior,2,4.0
svir,2,4.0
pien,2,4.0
guét,2,4.0
fràs,2,4.0
mion,2,4.0
quel,2,4.0
flìt,2,4.0
pròt,2,4.0
caiz,2,4.0
stèi,2,4.0
scra,2,4.0
sfón,2,4.0
brià,2,4.0
fróm,2,4.0
brég,1,4.0
grèo,1,4.0
spìf,1,4.0
cleo,1,4.0
chèg,1,4.0
sfes,1,4.0
gaus,1,4.0
sfàc,1,4.0
scàz,1,4.0
sfeb,1,4.0
trìt,1,4.0
kàrt,1,4.0
riet,1,4.0
dròs,1,4.0
pùll,1,4.0
bùll,1,4.0
crem,1,4.0
tica,1,4.0
grui,1,4.0
lias,1,4.0
sfìg,1,4.0
lòtl,1,4.0
snét,1,4.0
jàzz,1,4.0
gnàf,1,4.0
clàc,1,4.0
trór,1,4.0
riòs,1,4.0
smòi,1,4.0
viàn,1,4.0
smèg,1,4.0
chat,1,4.0
sdif,1,4.0
ziét,1,4.0
spòc,1,4.0
trèu,1,4.0
flac,1,4.0
rick,1,4.0
gnìz,1,4.0
sbom,1,4.0
trén,1,4.0
breu,1,4.0
quod,1,4.0
vian,1,4.0
spex,1,4.0
scec,1,4.0
biàt,1,4.0
less,1,4.0
wàtt,1,4.0
spìz,1,4.0
stàf,1,4.0
gruc,1,4.0
troi,1,4.0
scòi,1,4.0
sbòr,1,4.0
bing,1,4.0
bàrd,1,4.0
pash,1,4.0
squè,1,4.0
teng,1,4.0
scòm,1,4.0
quìz,1,4.0
diòi,1,4.0
spùl,1,4.0
chép,1,4.0
slès,1,4.0
muez,1,4.0
sfil,1,4.0
horn,1,4.0
turk,1,4.0
spés,1,4.0
tang,1,4.0
sfèn,1,4.0
sgón,1,4.0
fòrt,1,4.0
spàs,1,4.0
sbùr,1,4.0
sgóc,1,4.0
stif,1,4.0
klek,1,4.0
sbuz,1,4.0
driò,1,4.0
viét,1,4.0
plon,1,4.0
zeug,1,4.0
priè,1,4.0
scùf,1,4.0
spiò,1,4.0
fria,1,4.0
lèft,1,4.0
sdùt,1,4.0
svil,1,4.0
vièl,1,4.0
màio,1,4.0
gnèn,1,4.0
craw,1,4.0
gròi,1,4.0
guit,1,4.0
gnàu,1,4.0
còns,1,4.0
crèn,1,4.0
slùn,1,4.0
bròt,1,4.0
sdòs,1,4.0
ciòp,1,4.0
crac,1,4.0
port,1,4.0
shke,1,4.0
scàb,1,4.0
sbòf,1,4.0
pàto,1,4.0
sles,1,4.0
frèi,1,4.0
lang,1,4.0
fréz,1,4.0
ciàf,1,4.0
drìz,1,4.0
drel,1,4.0
brot,1,4.0
miòt,1,4.0
pràl,1,4.0
fral,1,4.0
dien,1,4.0
quàg,1,4.0
dién,1,4.0
ghìr,1,4.0
sdon,1,4.0
stàu,1,4.0
scét,1,4.0
biur,1,4.0
plùm,1,4.0
cióm,1,4.0
svàn,1,4.0
scóo,1,4.0
guài,1,4.0
piàl,1,4.0
slar,1,4.0
wind,1,4.0
cord,1,4.0
svìn,1,4.0
scag,1,4.0
smèc,1,4.0
sfib,1,4.0
blón,1,4.0
crea,1,4.0
sfàr,1,4.0
pièl,1,4.0
slàc,1,4.0
sbòt,1,4.0
bris,1,4.0
trép,1,4.0
king,1,4.0
svér,1,4.0
viep,1,4.0
tien,1,4.0
sric,1,4.0
quaz,1,4.0
diot,1,4.0
scoi,1,4.0
ptàr,1,4.0
scrù,1,4.0
grés,1,4.0
blàn,1,4.0
ghiù,1,4.0
ling,1,4.0
trex,1,4.0
spop,1,4.0
friu,1,4.0
dàrm,1,4.0
ghés,1,4.0
prab,1,4.0
slur,1,4.0
dias,1,4.0
bràs,1,4.0
ciàp,1,4.0
bònd,1,4.0
sbàf,1,4.0
slat,1,4.0
ched,1,4.0
lari,1,4.0
psia,1,4.0
splù,1,4.0
srut,1,4.0
gnot,1,4.0
sbòb,1,4.0
pàrk,1,4.0
lànt,1,4.0
scóm,1,4.0
giùb,1,4.0
sbéc,1,4.0
brit,1,4.0
chìd,1,4.0
poin,1,4.0
còrd,1,4.0
bròz,1,4.0
fien,1,4.0
pact,1,4.0
scùc,1,4.0
drié,1,4.0
làng,1,4.0
svèn,1,4.0
sgàn,1,4.0
fort,1,4.0
làmb,1,4.0
dràr,1,4.0
thai,1,4.0
stàs,1,4.0
glàs,1,4.0
flàu,1,4.0
drau,1,4.0
trìp,1,4.0
chez,1,4.0
chen,1,4.0
smaz,1,4.0
psìl,1,4.0
sbàs,1,4.0
grìc,1,4.0
ghèn,1,4.0
bréc,1,4.0
tung,1,4.0
smùs,1,4.0
scab,1,4.0
stém,1,4.0
gìnk,1,4.0
dieu,1,4.0
frùl,1,4.0
sbùf,1,4.0
glip,1,4.0
fror,1,4.0
samp,1,4.0
slon,1,4.0
nius,1,4.0
snìf,1,4.0
fico,1,4.0
fràc,1,4.0
lièu,1,4.0
chli,1,4.0
snèl,1,4.0
clèt,1,4.0
prùg,1,4.0
smai,1,4.0
cret,1,4.0
miur,1,4.0
guàp,1,4.0
sbaf,1,4.0
bull,1,4.0
piòi,1,4.0
dròn,1,4.0
psìt,1,4.0
plum,1,4.0
sdet,1,4.0
drui,1,4.0
smià,1,4.0
ptìs,1,4.0
sfré,1,4.0
slìn,1,4.0
mont,1,4.0
dres,1,4.0
sdàr,1,4.0
blòi,1,4.0
guap,1,4.0
drón,1,4.0
blia,1,4.0
prìl,1,4.0
grùc,1,4.0
gòld,1,4.0
spip,1,4.0
glèt,1,4.0
fael,1,4.0
plìn,1,4.0
quiz,1,4.0
fràm,1,4.0
stex,1,4.0
scui,1,4.0
niùb,1,4.0
sanc,1,4.0
tier,1,4.0
sbit,1,4.0
scéz,1,4.0
tent,1,4.0
vlar,1,4.0
greg,1,4.0
thià,1,4.0
mier,1,4.0
gico,1,4.0
cles,1,4.0
psàm,1,4.0
frài,1,4.0
sdùr,1,4.0
tech,1,4.0
stòp,1,4.0
cral,1,4.0
riùn,1,4.0
cènt,1,4.0
cròi,1,4.0
smez,1,4.0
hert,1,4.0
ping,1,4.0
slèp,1,4.0
stèg,1,4.0
scìc,1,4.0
arrr,1,4.0
smìl,1,4.0
d'al,1,4.0
grùz,1,4.0
guìg,1,4.0
film,1,4.0
fràp,1,4.0
spèc,1,4.0
bèst,1,4.0
gruo,1,4.0
gnéz,1,4.0
fero,1,4.0
pler,1,4.0
tico,1,4.0
grua,1,4.0
flir,1,4.0
flòt,1,4.0
pròi,1,4.0
clìn,1,4.0
clèf,1,4.0
skut,1,4.0
flàc,1,4.0
frìz,1,4.0
flòp,1,4.0
siàn,1,4.0
ròid,1,4.0
zian,1,4.0
sium,1,4.0
dian,1,4.0
pràc,1,4.0
park,1,4.0
slàn,1,4.0
sfun,1,4.0
peiz,1,4.0
slàm,1,4.0
plot,1,4.0
gnòz,1,4.0
blon,1,4.0
bruz,1,4.0
youn,1,4.0
fluì,1,4.0
slòg,1,4.0
pràr,1,4.0
giag,1,4.0
cràm,1,4.0
sces,1,4.0
sbìr,1,4.0
nist,1,4.0
flàn,1,4.0
quél,1,4.0
fréc,1,4.0
vien,1,4.0
sius,1,4.0
pàss,1,4.0
volt,1,4.0
niàn,1,4.0
fràg,1,4.0
cras,1,4.0
dron,1,4.0
flex,1,4.0
gink,1,4.0
slàr,1,4.0
drai,1,4.0
chir,1,4.0
còng,1,4.0
blùn,1,4.0
sist,1,4.0
blòt,1,4.0
spòi,1,4.0
stìr,1,4.0
chìr,1,4.0
biòt,1,4.0
gang,1,4.0
gròl,1,4.0
stòz,1,4.0
svìr,1,4.0
svàc,1,4.0
clow,1,4.0
sfos,1,4.0
gius,1,4.0
quor,1,4.0
gòlf,1,4.0
prìn,1,4.0
stùt,1,4.0
stès,1,4.0
brìs,1,4.0
glìc,1,4.0
slem,1,4.0
ùsso,1,4.0
sgeu,1,4.0
spep,1,4.0
bión,1,4.0
spró,1,4.0
buiz,1,4.0
pias,1,4.0
dhàr,1,4.0
glàu,1,4.0
càrd,1,4.0
plet,1,4.0
bres,1,4.0
brau,1,4.0
jean,1,4.0
stuo,1,4.0
stón,1,4.0
prùs,1,4.0
ciùf,1,4.0
trùi,1,4.0
nior,1,4.0
spùt,1,4.0
brow,1,4.0
giùc,1,4.0
gleu,1,4.0
zàto,1,4.0
cker,1,4.0
vrés,1,4.0
tiòr,1,4.0
sdos,1,4.0
rang,1,4.0
ziòt,1,4.0
diet,1,4.0
srup,1,4.0
shàm,1,4.0
clis,1,4.0
ftal,1,4.0
gnòr,1,4.0
frét,1,4.0
slàz,1,4.0
teur,1,4.0
fiòr,1,4.0
pròp,1,4.0
freu,1,4.0
ciàg,1,4.0
biéz,1,4.0
sgot,1,4.0
sfór,1,4.0
sgat,1,4.0
grùl,1,4.0
cauc,1,4.0
gneg,1,4.0
scir,1,4.0
sfòs,1,4.0
gnór,1,4.0
drar,1,4.0
pang,1,4.0
tiàm,1,4.0
treo,1,4.0
suin,1,4.0
stàb,1,4.0
tior,1,4.0
crèt,1,4.0
cèrp,1,4.0
lius,1,4.0
stùi,1,4.0
dròt,1,4.0
fiòs,1,4.0
plìs,1,4.0
niàc,1,4.0
spiz,1,4.0
sval,1,4.0
sfog,1,4.0
sèng,1,4.0
leus,1,4.0
scòz,1,4.0
quag,1,4.0
diòt,1,4.0
diàl,1,4.0
flòc,1,4.0
lion,1,4.0
dium,1,4.0
vièt,1,4.0
gria,1,4.0
svàs,1,4.0
scuc,1,4.0
crìl,1,4.0
sing,1,4.0
blàt,1,4.0
plom,1,4.0
sbiz,1,4.0
bros,1,4.0
mico,1,4.0
clià,1,4.0
snòn,1,4.0
ving,1,4.0
clìs,1,4.0
vràs,1,4.0
spùr,1,4.0
diàc,1,4.0
piuc,1,4.0
flag,1,4.0
sièr,1,4.0
mics,1,4.0
fric,1,4.0
slen,1,4.0
gnox,1,4.0
viem,1,4.0
miàm,1,4.0
scòl,1,4.0
flon,1,4.0
ciùr,1,4.0
gueg,1,4.0
nèll,1,4.0
smam,1,4.0
plùs,1,4.0
sièn,1,4.0
fròi,1,4.0
buàs,1,4.0
grac,1,4.0
ghép,1,4.0
cloc,1,4.0
gnio,1,4.0
flap,1,4.0
dièr,1,4.0
gròp,1,4.0
guac,1,4.0
smàl,1,4.0
gnuò,1,4.0
guìt,1,4.0
làrm,1,4.0
brìn,1,4.0
scès,1,4.0
plòt,1,4.0
gràr,1,4.0
lìnc,1,4.0
sfen,1,4.0
fica,1,4.0
mial,1,4.0
quió,1,4.0
gnus,1,4.0
liór,1,4.0
quòd,1,4.0
stég,1,4.0
frùm,1,4.0
sfem,1,4.0
slun,1,4.0
piòp,1,4.0
guèf,1,4.0
ckià,1,4.0
ning,1,4.0
slìp,1,4.0
smàc,1,4.0
biac,1,4.0
daiz,1,4.0
traz,1,4.0
sfót,1,4.0
sbiè,1,4.0
quèr,1,4.0
sfià,1,4.0
brùp,1,4.0
gróp,1,4.0
diak,1,4.0
smuc,1,4.0
gurt,1,4.0
gràt,1,4.0
chìf,1,4.0
stùg,1,4.0
gnis,1,4.0
nièt,1,4.0
sbóc,1,4.0
drof,1,4.0
ftàl,1,4.0
briò,1,4.0
flip,1,4.0
piut,1,4.0
ploi,1,4.0
sfòg,1,4.0
biàg,1,4.0
bràm,1,4.0
reos,1,4.0
tràs,1,4.0
sdut,1,4.0
smòt,1,4.0
piàr,1,4.0
buèn,1,4.0
crìb,1,4.0
stìz,1,4.0
póll,1,4.0
giàs,1,4.0
sket,1,4.0
trég,1,4.0
gràc,1,4.0
palm,1,4.0
drin,1,4.0
biàr,1,4.0
pràg,1,4.0
ròng,1,4.0
lamb,1,4.0
tàrd,1,4.0
cies,1,4.0
smae,1,4.0
sbel,1,4.0
sbòz,1,4.0
brèg,1,4.0
ghìp,1,4.0
cheu,1,4.0
ging,1,4.0
rion,1,4.0
sgòr,1,4.0
scém,1,4.0
scùl,1,4.0
mond,1,4.0
sfìl,1,4.0
spèp,1,4.0
stèc,1,4.0
sbàn,1,4.0
brùl,1,4.0
clam,1,4.0
sbàt,1,4.0
cton,1,4.0
tuor,1,4.0
sgàg,1,4.0
slèt,1,4.0
pnoi,1,4.0
sben,1,4.0
sclè,1,4.0
sgòb,1,4.0
zió,2200,3.0
sta,1942,3.0
con,1562,3.0
sti,1558,3.0
smo,1481,3.0
tra,1470,3.0
mén,1470,3.0
chi,1446,3.0
tro,1332,3.0
gli,1142,3.0
rio,1126,3.0
sco,1028,3.0
pro,947,3.0
pre,916,3.0
gra,891,3.0
tri,870,3.0
cia,766,3.0
trì,724,3.0
sci,719,3.0
cio,715,3.0
gio,698,3.0
ter,670,3.0
cià,653,3.0
sca,631,3.0
per,625,3.0
zio,580,3.0
già,571,3.0
ste,554,3.0
sto,540,3.0
com,529,3.0
car,505,3.0
cro,489,3.0
lià,476,3.0
che,469,3.0
cor,453,3.0
dio,449,3.0
trà,421,3.0
ran,420,3.0
lia,419,3.0
stà,418,3.0
ver,403,3.0
rin,401,3.0
men,392,3.0
col,389,3.0
liz,371,3.0
qua,369,3.0
lio,362,3.0
gia,359,3.0
spe,359,3.0
chì,345,3.0
grà,331,3.0
cen,328,3.0
let,324,3.0
spi,323,3.0
for,320,3.0
por,317,3.0
ria,312,3.0
cri,308,3.0
fra,304,3.0
cal,303,3.0
sió,302,3.0
man,301,3.0
spa,298,3.0
ràn,297,3.0
sio,291,3.0
cèn,282,3.0
can,281,3.0
pia,281,3.0
pen,268,3.0
par,265,3.0
ten,261,3.0
bra,257,3.0
riz,253,3.0
qui,253,3.0
rià,251,3.0
gno,247,3.0
dro,246,3.0
zià,236,3.0
stì,235,3.0
tre,234,3.0
spo,234,3.0
cre,234,3.0
pra,231,3.0
dia,231,3.0
ché,228,3.0
tàn,227,3.0
pri,227,3.0
bio,224,3.0
bri,222,3.0
gnà,219,3.0
gua,219,3.0
ven,213,3.0
sot,207,3.0
téz,206,3.0
nio,206,3.0
rat,206,3.0
bro,203,3.0
giu,203,3.0
ser,199,3.0
sin,198,3.0
tèn,198,3.0
mar,198,3.0
ron,195,3.0
tor,194,3.0
dèn,194,3.0
scà,193,3.0
rac,191,3.0
gna,188,3.0
bar,188,3.0
pio,186,3.0
làn,184,3.0
ram,184,3.0
pan,184,3.0
tiz,179,3.0
mor,178,3.0
tel,177,3.0
sen,175,3.0
zia,174,3.0
lan,172,3.0
sce,171,3.0
stè,169,3.0
tru,169,3.0
sal,168,3.0
fer,166,3.0
scè,166,3.0
fór,165,3.0
pla,165,3.0
res,160,3.0
den,159,3.0
pli,157,3.0
bat,157,3.0
trò,156,3.0
scò,155,3.0
mal,153,3.0
sma,149,3.0
brà,146,3.0
dià,144,3.0
cer,144,3.0
càn,144,3.0
ghi,141,3.0
niz,141,3.0
rèn,140,3.0
fre,140,3.0
ren,139,3.0
nèl,139,3.0
pal,139,3.0
mon,138,3.0
bor,136,3.0
lèn,136,3.0
cam,135,3.0
màn,134,3.0
pol,133,3.0
psi,132,3.0
nàn,132,3.0
pet,132,3.0
sor,132,3.0
san,131,3.0
cla,130,3.0
lin,129,3.0
cel,129,3.0
sol,129,3.0
ràm,128,3.0
niè,128,3.0
dri,127,3.0
rim,125,3.0
nià,125,3.0
sba,125,3.0
que,124,3.0
tan,124,3.0
bal,124,3.0
stu,124,3.0
liè,124,3.0
dis,123,3.0
tiè,123,3.0
bia,122,3.0
rèl,121,3.0
pas,121,3.0
tal,121,3.0
càr,121,3.0
scu,120,3.0
pie,120,3.0
gro,119,3.0
raf,119,3.0
tur,119,3.0
ièn,119,3.0
ber,118,3.0
gre,117,3.0
tar,117,3.0
reg,116,3.0
fia,115,3.0
pel,115,3.0
dra,115,3.0
vol,115,3.0
rap,114,3.0
cle,114,3.0
gèn,114,3.0
pun,114,3.0
pià,114,3.0
nia,114,3.0
mio,114,3.0
tèr,113,3.0
sfo,113,3.0
fio,112,3.0
pic,111,3.0
neu,111,3.0
gri,110,3.0
clo,110,3.0
tèl,110,3.0
ghe,110,3.0
ció,110,3.0
fal,109,3.0
scì,109,3.0
ret,109,3.0
cra,108,3.0
leg,107,3.0
glo,106,3.0
bel,104,3.0
rut,103,3.0
stò,103,3.0
mer,102,3.0
lét,102,3.0
ple,102,3.0
ban,101,3.0
tem,100,3.0
set,98,3.0
plà,97,3.0
bru,97,3.0
fan,95,3.0
cin,94,3.0
quà,93,3.0
tàg,93,3.0
fri,92,3.0
prè,92,3.0
van,92,3.0
flu,91,3.0
cap,91,3.0
cèl,91,3.0
ras,91,3.0
gui,90,3.0
rie,90,3.0
lie,89,3.0
còr,89,3.0
del,89,3.0
crò,88,3.0
crì,87,3.0
spà,86,3.0
pèr,86,3.0
val,86,3.0
cir,86,3.0
bli,85,3.0
spu,85,3.0
nar,85,3.0
sar,84,3.0
bià,84,3.0
lió,84,3.0
sfi,84,3.0
fru,84,3.0
fon,83,3.0
tac,83,3.0
vel,83,3.0
sve,83,3.0
lèt,82,3.0
gal,82,3.0
cli,82,3.0
mis,82,3.0
cet,82,3.0
pon,82,3.0
fro,82,3.0
ros,81,3.0
ciò,81,3.0
pos,81,3.0
piè,81,3.0
rit,80,3.0
gió,80,3.0
nor,80,3.0
crà,80,3.0
las,79,3.0
nét,79,3.0
prò,79,3.0
chè,79,3.0
len,79,3.0
neg,78,3.0
les,77,3.0
far,77,3.0
ton,77,3.0
bot,77,3.0
plu,77,3.0
sfa,76,3.0
bre,75,3.0
ses,75,3.0
rét,75,3.0
guà,75,3.0
guì,75,3.0
der,74,3.0
iet,74,3.0
mul,74,3.0
boc,74,3.0
ral,74,3.0
rag,74,3.0
drà,74,3.0
drì,73,3.0
roc,73,3.0
gne,73,3.0
fet,73,3.0
vio,72,3.0
nèn,72,3.0
riè,71,3.0
lac,71,3.0
spè,71,3.0
gen,71,3.0
nel,71,3.0
lon,70,3.0
rom,70,3.0
fla,70,3.0
ciè,70,3.0
vèn,70,3.0
ric,68,3.0
sià,67,3.0
fià,67,3.0
spì,67,3.0
tam,67,3.0
don,67,3.0
smi,67,3.0
cas,67,3.0
ces,66,3.0
nàg,66,3.0
ben,66,3.0
cac,66,3.0
stó,66,3.0
vèr,66,3.0
lat,66,3.0
tró,66,3.0
tin,66,3.0
sel,66,3.0
pul,65,3.0
zàn,65,3.0
dàn,65,3.0
vra,65,3.0
iàr,65,3.0
tec,65,3.0
cón,64,3.0
plo,64,3.0
frà,64,3.0
teg,64,3.0
prì,64,3.0
mòr,63,3.0
dif,62,3.0
mez,62,3.0
sàn,62,3.0
rec,62,3.0
tàl,62,3.0
tàr,62,3.0
ràc,62,3.0
fle,62,3.0
ciu,61,3.0
gni,61,3.0
lau,61,3.0
bac,61,3.0
gar,61,3.0
lòt,60,3.0
cul,60,3.0
get,60,3.0
gnò,60,3.0
brì,60,3.0
via,59,3.0
ràg,59,3.0
sim,59,3.0
mas,58,3.0
càl,58,3.0
vòl,58,3.0
sac,58,3.0
tio,58,3.0
rìt,57,3.0
noc,57,3.0
pèn,57,3.0
trè,57,3.0
rel,57,3.0
pàr,57,3.0
déz,56,3.0
tua,56,3.0
pòr,56,3.0
cru,56,3.0
sur,55,3.0
fat,55,3.0
clà,55,3.0
drò,55,3.0
gru,55,3.0
lam,55,3.0
dut,55,3.0
til,55,3.0
pac,55,3.0
sfè,55,3.0
clì,55,3.0
gàn,55,3.0
sia,55,3.0
fol,54,3.0
iar,54,3.0
fil,54,3.0
sbi,54,3.0
mét,54,3.0
vàn,53,3.0
net,53,3.0
sil,53,3.0
gan,53,3.0
nac,53,3.0
cat,53,3.0
giù,53,3.0
sàg,53,3.0
mil,53,3.0
scó,52,3.0
lìn,51,3.0
ciù,51,3.0
bol,51,3.0
sla,51,3.0
tià,50,3.0
làc,50,3.0
dat,50,3.0
toc,50,3.0
cór,50,3.0
bla,50,3.0
pin,50,3.0
mat,50,3.0
mel,50,3.0
vià,50,3.0
lar,49,3.0
svi,49,3.0
mac,49,3.0
raz,49,3.0
maz,49,3.0
gue,49,3.0
rió,49,3.0
mol,49,3.0
sub,49,3.0
reo,48,3.0
vul,48,3.0
lot,48,3.0
quì,48,3.0
pàn,48,3.0
dèl,48,3.0
non,48,3.0
rìn,48,3.0
ràt,48,3.0
prà,48,3.0
sté,47,3.0
dan,47,3.0
liò,47,3.0
rón,47,3.0
iét,47,3.0
làg,47,3.0
diè,46,3.0
ciz,46,3.0
léz,46,3.0
lun,46,3.0
ner,46,3.0
tic,46,3.0
bàr,46,3.0
vin,46,3.0
sbo,45,3.0
tìc,45,3.0
vèl,45,3.0
sof,45,3.0
teo,45,3.0
bur,45,3.0
rab,44,3.0
grì,44,3.0
fes,44,3.0
tas,44,3.0
tèc,44,3.0
paz,44,3.0
sfe,44,3.0
sme,44,3.0
rez,44,3.0
cur,43,3.0
tos,43,3.0
ger,43,3.0
mie,43,3.0
rav,43,3.0
bie,43,3.0
sem,43,3.0
sga,43,3.0
stù,43,3.0
trù,43,3.0
pór,43,3.0
réc,42,3.0
gon,42,3.0
leu,42,3.0
rès,42,3.0
sup,42,3.0
ghé,42,3.0
fis,42,3.0
flo,42,3.0
dor,42,3.0
fac,41,3.0
ziè,41,3.0
nàr,41,3.0
ril,41,3.0
vet,41,3.0
rad,41,3.0
pàl,41,3.0
die,41,3.0
boz,41,3.0
bec,41,3.0
lom,41,3.0
cil,41,3.0
sul,40,3.0
gnó,40,3.0
suc,40,3.0
cìn,40,3.0
iàc,40,3.0
sag,40,3.0
cau,40,3.0
sie,40,3.0
pru,40,3.0
miz,40,3.0
dar,40,3.0
dre,40,3.0
tìn,40,3.0
bàn,40,3.0
spó,39,3.0
vil,39,3.0
sét,39,3.0
cèr,39,3.0
ghì,39,3.0
sèn,39,3.0
siè,39,3.0
gnì,39,3.0
sgo,39,3.0
pez,39,3.0
pèl,38,3.0
tré,38,3.0
nal,38,3.0
tàc,38,3.0
plè,38,3.0
som,38,3.0
nòt,38,3.0
sgu,38,3.0
fòr,37,3.0
réz,37,3.0
ròt,37,3.0
seg,37,3.0
nun,37,3.0
bam,37,3.0
fuo,37,3.0
met,37,3.0
ròc,37,3.0
spò,37,3.0
fit,36,3.0
tòr,36,3.0
coc,36,3.0
roi,36,3.0
clu,36,3.0
ròi,36,3.0
mèn,36,3.0
son,36,3.0
rot,36,3.0
peg,36,3.0
còt,36,3.0
sop,36,3.0
glò,36,3.0
fìl,36,3.0
sec,36,3.0
quo,36,3.0
dot,35,3.0
còl,35,3.0
què,35,3.0
psì,35,3.0
brò,35,3.0
fèr,35,3.0
min,35,3.0
frì,35,3.0
cuò,35,3.0
scé,35,3.0
nin,35,3.0
fun,35,3.0
sog,35,3.0
bas,35,3.0
fel,34,3.0
bèl,34,3.0
sva,34,3.0
tùr,34,3.0
sèl,34,3.0
rìc,34,3.0
mià,34,3.0
dol,34,3.0
iòt,34,3.0
làs,34,3.0
sìl,34,3.0
màr,34,3.0
ior,34,3.0
leo,34,3.0
mec,34,3.0
gam,33,3.0
fón,33,3.0
còn,33,3.0
smà,33,3.0
viè,33,3.0
ràr,33,3.0
cot,33,3.0
bet,33,3.0
làr,33,3.0
fàt,33,3.0
ruf,33,3.0
mag,32,3.0
pùn,32,3.0
lòi,32,3.0
cie,32,3.0
pil,32,3.0
vac,32,3.0
tet,32,3.0
nie,32,3.0
pìn,31,3.0
cop,31,3.0
sfà,31,3.0
ruc,31,3.0
nàc,31,3.0
bom,31,3.0
diò,31,3.0
pat,31,3.0
més,31,3.0
sua,31,3.0
bàl,31,3.0
dèr,31,3.0
bul,31,3.0
iat,31,3.0
glì,31,3.0
luo,31,3.0
mia,30,3.0
gom,30,3.0
roz,30,3.0
rol,30,3.0
giò,30,3.0
sas,30,3.0
crè,30,3.0
nió,30,3.0
sèt,29,3.0
cré,29,3.0
suf,29,3.0
red,29,3.0
smò,29,3.0
los,29,3.0
nàu,29,3.0
bór,28,3.0
bir,28,3.0
gor,28,3.0
mes,28,3.0
fen,28,3.0
càg,28,3.0
zie,28,3.0
miè,28,3.0
grè,28,3.0
rul,28,3.0
sìn,28,3.0
tór,28,3.0
gat,28,3.0
sus,27,3.0
bus,27,3.0
dét,27,3.0
blà,27,3.0
lès,27,3.0
tió,27,3.0
meg,27,3.0
deg,27,3.0
sic,27,3.0
tau,27,3.0
zét,27,3.0
riò,27,3.0
mam,27,3.0
fàn,27,3.0
got,26,3.0
vàl,26,3.0
glu,26,3.0
fur,26,3.0
gla,26,3.0
siò,26,3.0
piz,26,3.0
caz,26,3.0
bèr,26,3.0
rìl,26,3.0
pse,26,3.0
còc,26,3.0
scù,26,3.0
gnè,26,3.0
sèr,26,3.0
not,26,3.0
tàs,26,3.0
buo,26,3.0
lor,26,3.0
dón,25,3.0
dót,25,3.0
pól,25,3.0
pap,25,3.0
nau,25,3.0
vìn,25,3.0
làt,25,3.0
càm,25,3.0
tèm,25,3.0
zuc,25,3.0
fie,25,3.0
ràs,25,3.0
grò,25,3.0
loc,25,3.0
bon,24,3.0
tia,24,3.0
fàl,24,3.0
luc,24,3.0
fìt,24,3.0
pré,24,3.0
nei,24,3.0
buf,24,3.0
lìt,24,3.0
nul,24,3.0
top,24,3.0
tol,24,3.0
dùr,24,3.0
sàl,24,3.0
ceo,24,3.0
gin,24,3.0
flè,24,3.0
caf,24,3.0
rip,24,3.0
vir,24,3.0
blo,23,3.0
sau,23,3.0
dàt,23,3.0
fré,23,3.0
rau,23,3.0
zan,23,3.0
pèt,23,3.0
frù,23,3.0
ràl,23,3.0
svo,23,3.0
càc,23,3.0
lit,23,3.0
gèl,23,3.0
zin,22,3.0
pàs,22,3.0
nòi,22,3.0
tie,22,3.0
gab,22,3.0
pec,22,3.0
bré,22,3.0
rar,22,3.0
laz,22,3.0
cét,22,3.0
nat,22,3.0
gré,22,3.0
ràz,22,3.0
sun,21,3.0
clù,21,3.0
ièl,21,3.0
dit,21,3.0
pur,21,3.0
sbu,21,3.0
lec,21,3.0
sàr,21,3.0
tap,21,3.0
cól,21,3.0
iàt,21,3.0
dop,21,3.0
tòi,21,3.0
tes,21,3.0
dos,21,3.0
róm,21,3.0
piò,21,3.0
vét,21,3.0
bùr,21,3.0
naf,21,3.0
tón,21,3.0
fin,21,3.0
lus,21,3.0
cuc,20,3.0
bàt,20,3.0
lòs,20,3.0
dió,20,3.0
món,20,3.0
